aAbode_0	Abode
aAbodetype	AbodeType
aAllegiance	Allegiance
aAnimate_0	Animate
aBarrel	Barrel
aBeingbuilt	BeingBuilt
aBelief_0	Belief
aCarrying	Carrying
aCeltic_0	Celtic
aCreaturetype	CreatureType
aDesire_0	Desire
aFalse	false
aFalse_0	False
aFriendly	Friendly
aHeight	Height
aInvalid_1	Invalid
aIsbeingbuilt	IsBeingBuilt
aIsharderthanme	IsHarderThanMe
aIsonfire	IsOnFire
aLife	Life
aMale	Male
aNatural	Natural
aNeedsmost	NeedsMost
aNull	NULL
aOnfire_0	OnFire
aOrigin	Origin
aPlayernumber	PlayerNumber
aSize	Size
aSmall	Small
aSmall_0	Small
aSpell	Spell
aTown	Town
aTribe	Tribe
aTrue	true
aTrue_0	True
aType	Type
aVerylow	VeryLow
aVerysmall	VerySmall
unk_8FC520	%d
unk_90BDE8	Low
unk_B89790	?
unk_BA42D0	?
unk_BA43D0	?
unk_BA44D0	?
unk_CC35C8	?

Loading IDA library from: C:\Program Files\IDA Professional 9.1\idalib.dll
