0x80e550 Attribute
0x80e850 AttributeAbodeBeingBuilt
0x80e888 AttributeAbodeType
0x80e518 AttributeAllegiance
0x80e4a8 AttributeAnimate
0x80e9d8 AttributeCreatureDominantDesire
0x80e9a0 AttributeCreatureHeight
0x80e968 AttributeCreatureSpellKnowledge
0x80e400 AttributeCreatureType
0x80e930 AttributeCreatureWhatHeIsCarrying
0x80e8f8 AttributeForestSize
0x80e438 AttributeIsHarderThanMe
0x80e320 AttributeLife
0x80e8c0 AttributeMobileObjectType
0x80e2e8 AttributeOnFire
0x80e4e0 AttributeOrigin
0x80e470 AttributePlayerNumber
0x80e390 AttributeSex
0x80e588 AttributeTownReligiousBeliefInYou
0x80e5f8 AttributeTownSize
0x80e630 AttributeTribe
0x80e3c8 AttributeType
0x80e358 AttributeVillagerJob
0x80e5c0 AttributeWhatTownNeedsMost
