aDetailAlignmen	DETAIL_ALIGNMENT_INFO
aDetailAnimalSt	DETAIL_ANIMAL_STATE_TABLE_INFO
aDetailAnimated	DETAIL_ANIMATED_STATIC_INFO
aDetailBigFores	DETAIL_BIG_FOREST_INFO
aDetailClimateI	DETAIL_CLIMATE_INFO
aDetailCreature_10	DETAIL_CREATURE_DESIRE_TABLE
aDetailCreature_11	DETAIL_CREATURE_DESIRE_SOURCE_TABLE
aDetailCreature_12	DETAIL_CREATURE_INITIAL_DESIRE_SOURCE_VALUE
aDetailCreature_13	DETAIL_CREATURE_INITIAL_DESIRE_SOURCE_THRESHOLD
aDetailCreature_14	DETAIL_CREATURE_DESIRE_SOURCE_THRESHOLD_BOUNDS
aDetailCreature_15	DETAIL_CREATURE_DESIRE_ATTRIBUTE_TABLE
aDetailCreature_16	DETAIL_CREATURE_NORMAL_ACTION_KNOWN_ABOUT_TABLE
aDetailCreature_17	DETAIL_CREATURE_MAGIC_ACTION_KNOWN_ABOUT_TABLE
aDetailCreature_5	DETAIL_CREATURE_ACTION
aDetailCreature_6	DETAIL_CREATURE_DESIRE_ACTION_TABLE
aDetailCreature_7	DETAIL_CREATURE_COMPASSION_FOR_TOWN_ACTION_TABLE
aDetailCreature_8	DETAIL_CREATURE_COMPASSION_FOR_CREATURE_ACTION_TABLE
aDetailCreature_9	DETAIL_CREATURE_DESIRE_DEPENDENCIES
aDetailDanceInf	DETAIL_DANCE_INFO
aDetailEffectIn	DETAIL_EFFECT_INFO
aDetailFeatureI	DETAIL_FEATURE_INFO
aDetailFieldInf	DETAIL_FIELD_INFO
aDetailFieldTyp	DETAIL_FIELD_TYPE_INFO
aDetailFishFarm	DETAIL_FISH_FARM_INFO
aDetailFlowersI	DETAIL_FLOWERS_INFO
aDetailFootball	DETAIL_FOOTBALL_POSITION_INFO
aDetailFurnitur	DETAIL_FURNITURE_INFO
aDetailHelpSpir	DETAIL_HELP_SPIRIT_INFO
aDetailHelpSpri	DETAIL_HELP_SPRITES_GUIDANCE
aDetailHelpSyst_0	DETAIL_HELP_SYSTEM_TOOLTIPS_INFO
aDetailJobInfo	DETAIL_JOB_INFO
aDetailLeashSel	DETAIL_LEASH_SELECTOR_INFO
aDetailMagicFir	DETAIL_MAGIC_FIREBALL_TYPE
aDetailMimicPla	DETAIL_MIMIC_PLAYER_ACTION_TABLE
aDetailMobileOb	DETAIL_MOBILE_OBJECT_INFO
aDetailMobileSt	DETAIL_MOBILE_STATIC_INFO
aDetailOpposing	DETAIL_OPPOSING_PLAYERS_CREATURE
aDetailPballInf	DETAIL_PBALL_INFO
aDetailPfootbal	DETAIL_PFOOTBALL_INFO
aDetailPfootbal_0	DETAIL_PFOOTBALL_POSITION_INFO
aDetailPlayerIn	DETAIL_PLAYER_INFO
aDetailPlaytime	DETAIL_PLAYTIME_INFO
aDetailPotInfo	DETAIL_POT_INFO
aDetailPrayerIc	DETAIL_PRAYER_ICON_INFO
aDetailPrayerSi	DETAIL_PRAYER_SITE_INFO
aDetailReaction	DETAIL_REACTION
aDetailRewardIn	DETAIL_REWARD_INFO
aDetailRewardPr	DETAIL_REWARD_PROGRESS_GOOD_TYPE
aDetailRewardPr_0	DETAIL_REWARD_PROGRESS_EVIL_TYPE
aDetailScaffold	DETAIL_SCAFFOLD_INFO
aDetailShotInfo	DETAIL_SHOT_INFO
aDetailShowNeed	DETAIL_SHOW_NEEDS_INFO
aDetailSpeedThr	DETAIL_SPEED_THRESHOLD
aDetailSpellSys	DETAIL_SPELL_SYSTEM_INFO
aDetailSpookyNa	DETAIL_SPOOKY_NAMES
aDetailSpotVisu	DETAIL_SPOT_VISUAL
aDetailTerrainM	DETAIL_TERRAIN_MATERIAL_INFO
aDetailTotemSta	DETAIL_TOTEM_STATUE_INFO
aDetailTownDesi	DETAIL_TOWN_DESIRE_INFO
aDetailTownInfo	DETAIL_TOWN_INFO
aDetailTribeInf	DETAIL_TRIBE_INFO
aDetailVillager_0	DETAIL_VILLAGER_STATE_TABLE_INFO
aDetailVortexTy	DETAIL_VORTEX_TYPE
aDetailWeatherI	DETAIL_WEATHER_INFO
aDetailWorshipS_0	DETAIL_WORSHIP_SITE_UPGRADE_INFO

Loading IDA library from: C:\Program Files\IDA Professional 9.1\idalib.dll
